pod,namespace,node
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-bzf6c,logs,gifted-diffie-3595658384
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-hsbjl,logs,great-hertz-3326971387
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9d9psv7,logs,heuristic-chebyshev-2842893432
otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-fh6bd9,logs,heuristic-chebyshev-2842893432
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9ddlfbz,logs,hungry-proskuriakova-2260414800
otel-o11y-ob3-logs-tech-infra-opentelemetry-collector-7d767vfbq,logs,hungry-proskuriakova-2260414800
otel-o11y-ob3-logs-tech-infra-opentelemetry-collector-7d76mnr4t,logs,hungry-proskuriakova-2260414800
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9ddwmhl,logs,infallible-mendeleev-21727099
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-km8sh,logs,infallible-mendeleev-21727099
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9df4dhm,logs,inspiring-ritchie-3562128676
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9dphq2p,logs,inspiring-ritchie-3562128676
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9dtg7d7,logs,kind-mayer-1495297069
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-lms4r,logs,kind-mayer-1495297069
otel-o11y-ob3-logs-developer-opentelemetry-collector-7cb9dvcrx5,logs,sharp-goldberg-921713939
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-m2lh8,logs,sharp-goldberg-921713939
otel-o11y-ob3-logs-o11y-platform-opentelemetry-collector-fncbll,logs,sleepy-proskuriakova-3277947576
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-sbxbk,logs,sleepy-proskuriakova-3277947576
otel-o11y-ob3-logs-beta-opentelemetry-collector-7875869bcfbbxww,logs,zen-rosalind-20965208
otel-o11y-ob3-logs-opentelemetry-collector-59f8574656-vn6nf,logs,zen-rosalind-20965208
otel-o11y-ob3-logs-tech-infra-opentelemetry-collector-7d76sfk2z,logs,zen-rosalind-20965208
redis-o11y-ob3-stable-master-66bfd95f48-p42nd,logs,zen-rosalind-20965208
otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry2br9c,metrics,admiring-haibt-3342079701
otel-o11y-system-metrics-janus-balancer-delta-acm-opentele2zzfs,metrics,admiring-haibt-3342079701
otel-o11y-system-metrics-janus-delta-acm-opentelemetry-col27xq7,metrics,admiring-haibt-3342079701
otel-o11y-ob3-system-metrics-merchant-journey-opentelemetr2rhjt,metrics,adoring-knuth-3647985905
otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry2xcs6,metrics,adoring-knuth-3647985905
otel-o11y-system-metrics-janus-balancer-delta-acm-opentele5kr4t,metrics,adoring-knuth-3647985905
otel-o11y-ob3-system-metrics-default-opentelemetry-collectml8qs,metrics,agitated-gould-853905350
otel-o11y-ob3-system-metrics-janus-opentelemetry-collector2gsp5,metrics,agitated-gould-853905350
otel-o11y-ob3-system-metrics-merchant-journey-opentelemetr2x9ls,metrics,agitated-gould-853905350
otel-o11y-system-metrics-janus-delta-acm-opentelemetry-col442mv,metrics,agitated-gould-853905350
otel-o11y-ob3-system-metrics-shopper-journey-opentelemetry2xr6n,metrics,agitated-solomon-1685521055
